id,drive,acceleration,topspeed,electricrange,totalpower,batterycapacity,chargespeed
1647,Rear,7.8,185,390,168,77.4,49
1252,Rear,5.7,190,470,250,83.9,54
1534,Rear,7.9,160,450,150,82,55
1178,Rear,8.9,160,275,110,55,38
1279,Rear,8.7,160,330,132,62,53
1280,Rear,8.6,160,420,150,82,51
1327,Front,9,135,135,70,23.8,59
1667,Rear,6.7,180,350,200,66,34
1662,Rear,7.3,185,390,168,77.4,49
1522,Front,11.7,135,200,100,50,28
1546,Front,11.7,135,200,100,50,28
1490,Rear,8.5,160,405,150,82,49
1721,Front,12.1,130,180,100,50,25
1489,Rear,10.9,160,285,109,55,34
1535,Rear,6.8,180,385,210,80,49
1290,Rear,9,160,295,125,55,35
1666,Front,7.8,167,380,150,68,55
1582,Front,8.7,150,260,100,50,36
1595,Front,12.1,130,180,100,50,25
1524,Rear,7.9,200,335,132,69.9,48
1596,Front,12.1,130,175,100,50,24
1314,Rear,8.5,160,410,150,82,50
1592,Front,7.4,160,335,170,69,47
1516,Rear,7.3,160,350,150,62,56
1584,Front,8.5,150,255,100,50,36
1587,Front,9.7,150,265,100,50,37
1610,Front,12.1,130,175,100,50,24
1698,Front,8.6,160,375,140,73.9,50
1351,Front,13.1,130,180,100,50,25
1646,Front,8.5,185,260,130,50.3,53
1423,Front,7.9,167,395,150,67.5,58
1708,Rear,7.9,160,365,150,64,55
1669,Rear,7,180,455,216,98.7,47
1476,Rear,8.5,185,295,125,58,51
1240,Front,12.1,160,305,150,100,32
1233,Rear,8.3,145,170,113,35.5,33
1342,Front,12.1,130,175,100,50,24
1605,Front,13.1,130,180,100,50,25
1697,Front,8.6,160,355,140,69.7,50
1608,Front,14.3,130,260,100,75,24
1411,Rear,9,160,285,125,55,34
1422,Front,9.9,155,250,100,42,39
1285,Front,9,150,235,87,42,59
1606,Front,13.1,130,175,100,50,24
1410,Front,12,132,225,85,43.5,32
1657,Front,6.9,157,340,160,62,32
1628,Rear,8.8,160,335,132,62,54
1474,Front,8.3,185,325,115,61.1,53
1651,Rear,10.2,145,330,150,82,40
1514,Front,13.1,130,265,100,75,25
1541,Front,8.4,175,365,115,72.6,34
1655,Front,7.4,160,330,170,69,46
1588,Front,10.5,150,365,96,60,110
1723,Front,12.1,130,175,100,50,24
1707,Rear,7.7,160,300,125,51,33
1540,Front,8.6,175,270,130,51.1,31
1481,Rear,7.3,185,410,168,77.4,52
1583,Front,8.1,150,285,100,50,40
1673,Rear,6.7,210,495,265,120,43
1602,Front,13.3,130,265,100,75,25
1179,Rear,9,160,285,125,55,34
1556,Rear,10.4,160,430,128,82,52
1536,Front,10,150,250,96,40,110
1713,Rear,7.6,210,515,180,100,54
1750,Front,9.9,157,230,100,42,36
1612,Front,13.1,130,260,100,75,24
1611,Front,13.1,130,260,100,75,24
1480,Rear,8.5,185,305,125,58,53
1538,Rear,6.4,210,525,215,100,54
1609,Front,12.1,130,175,100,50,24
1627,Rear,10.4,160,410,128,82,50
1518,Rear,7,160,450,170,82,55
1621,Rear,5.4,230,380,300,79.2,50
1251,Front,7.5,160,235,150,54.3,29
1164,Front,11.4,135,315,80,54.7,110
1393,Rear,5.4,230,410,300,79.2,54
1523,Front,11.7,135,195,100,50,27
1315,Front,13.1,160,305,150,100,32
1705,Front,19.1,125,155,33,26.8,35
1515,Front,13.1,130,260,100,75,24
1629,Rear,8.7,160,445,150,82,54
1680,Front,9.7,140,170,107,35.5,53
1328,Front,9,150,235,87,42,59
1357,Front,8.9,155,270,120,52,29
1352,Front,13.1,130,175,100,50,24
1601,Front,12.1,130,175,100,50,24
1607,Front,14.3,130,265,100,75,25
1622,Rear,5.4,230,445,350,93.4,50
1275,Front,9,150,230,87,42,58
1532,Rear,7.3,160,350,150,62,56
1714,Rear,6.4,210,515,215,100,54
1586,Front,9.2,150,255,100,50,36
1521,Front,7.4,160,360,160,60,110
1344,Front,13.3,130,260,100,75,24
1598,Front,13.3,130,260,100,75,24
1564,Front,7.5,160,375,150,75,29
1483,Rear,6.2,210,640,245,120,56
1354,Front,14.3,130,260,100,75,24
1600,Front,12.1,130,180,100,50,25
1205,Front,9.5,140,310,100,54.7,110
1585,Front,8.1,150,285,100,50,40
1341,Front,12.1,130,180,100,50,25
1724,Front,13.3,130,260,100,75,24
1517,Rear,6.6,160,345,170,62,56
1597,Front,13.3,130,265,100,75,25
1487,Front,7.4,160,425,170,78,53
1722,Front,13.3,130,265,100,75,25
1528,Rear,8.5,160,425,150,82,52
1664,Front,9.2,160,345,140,69.7,49
1409,Front,7.3,150,180,135,32.6,58
1343,Front,13.3,130,265,100,75,25
1753,Rear,6.9,180,355,198,75.7,47
1603,Front,13.3,130,260,100,75,24
1171,Rear,9,145,170,100,35.5,33
1394,Rear,5.4,230,475,350,93.4,53
1557,Rear,8.4,160,430,150,82,52
1533,Rear,7.9,160,450,150,82,55
1547,Front,11.7,135,195,100,50,27
1353,Front,14.3,130,265,100,75,25
