,Dr. Gerber,Dr. Johnson,Dr. Craig,Dr. Zhu,Dr. Wang,Dr. Murphy,Dr. Sun,Dr. Eagan,Dr. Ness,Dr. Sudyanti,Dr. Zhang,Dr. Wasab,Dr. Diallo,Dr. Hernandez,Dr. King
Student_1,NA,3,NA,5,4,4,5,2,NA,4,2,4,5,2,3
Student_2,NA,4,5,5,5,4,4,5,NA,4,4,3,5,1,4
Student_3,4,4,2,4,3,5,2,4,4,5,2,3,3,5,3
Student_4,2,5,5,5,5,2,4,3,5,4,5,4,4,4,5
Student_5,3,NA,4,NA,NA,4,5,2,5,3,5,5,2,4,4
Student_6,5,1,5,NA,4,NA,5,3,4,NA,4,3,NA,NA,4
Student_7,2,2,1,5,1,3,2,4,5,5,3,2,2,3,5
Student_8,4,2,5,4,4,4,4,4,4,4,3,5,5,NA,3
Student_9,3,5,4,5,4,NA,5,5,4,5,4,2,4,NA,4
Student_10,3,4,4,4,5,4,5,3,5,4,2,NA,3,5,5
Student_11,5,NA,5,4,4,4,5,NA,4,5,5,3,NA,4,4
Student_12,3,2,3,1,3,2,5,NA,NA,5,3,5,1,3,5
Student_13,NA,2,5,5,4,4,3,5,5,NA,4,NA,4,4,4
Student_14,4,5,4,4,3,4,5,2,3,NA,4,2,5,5,4
Student_15,5,5,5,4,4,5,2,2,2,2,4,4,2,5,4
Student_16,NA,5,2,NA,4,5,NA,3,3,2,2,4,3,5,5
Student_17,1,4,3,4,4,4,4,5,NA,1,4,2,4,4,2
Student_18,4,5,5,3,2,4,4,4,4,3,4,2,5,3,4
Student_19,5,3,3,NA,5,5,5,4,4,4,2,4,4,2,5
Student_20,3,5,NA,1,4,3,5,3,5,4,4,NA,2,5,2
Student_21,NA,5,5,5,4,2,5,4,4,2,NA,3,4,4,5
Student_22,4,5,4,5,5,NA,3,3,3,1,4,NA,3,5,5
Student_23,1,3,5,4,1,2,4,4,5,1,5,5,3,NA,1
Student_24,NA,3,1,4,2,4,2,5,4,4,4,5,4,NA,2
Student_25,4,3,4,3,5,3,4,4,4,3,4,2,1,5,5
Student_26,5,5,2,NA,4,3,3,2,1,2,5,2,2,2,1
Student_27,5,NA,4,5,5,4,4,5,4,4,5,5,3,2,4
Student_28,NA,1,4,2,5,NA,5,5,4,5,4,2,4,2,4
Student_29,5,4,4,3,3,5,3,5,4,4,1,4,NA,NA,2
Student_30,2,3,4,2,5,4,5,3,4,5,NA,5,3,5,NA
Student_31,2,NA,5,NA,5,2,5,5,4,5,1,4,2,3,4
Student_32,2,3,4,4,3,4,4,1,5,NA,4,2,4,4,NA
Student_33,5,3,4,4,5,2,4,1,4,NA,4,3,4,2,NA
Student_34,3,NA,4,5,4,3,4,NA,5,NA,4,4,2,NA,2
Student_35,4,2,1,3,NA,5,3,4,3,2,5,5,2,3,5
Student_36,2,3,2,5,4,4,3,5,3,4,5,3,5,3,3
Student_37,4,2,4,5,5,4,4,5,4,4,NA,4,3,4,4
Student_38,4,4,NA,4,4,5,5,3,3,5,3,4,5,4,1
Student_39,NA,2,3,2,4,5,2,3,NA,4,5,5,3,5,4
Student_40,3,3,5,4,5,4,3,2,4,2,4,5,4,5,5
Student_41,5,4,4,5,3,3,4,NA,2,5,NA,4,2,2,3
Student_42,5,4,3,4,NA,1,4,3,2,5,5,NA,5,4,4
Student_43,4,5,4,2,5,5,3,5,4,4,5,5,2,3,NA
Student_44,1,2,4,5,2,4,2,NA,3,5,3,3,NA,3,3
Student_45,5,2,3,4,4,3,5,NA,5,2,2,4,4,5,5
Student_46,1,2,5,4,5,2,3,5,4,5,4,4,2,2,3
Student_47,NA,4,4,NA,4,3,5,4,4,4,3,4,3,4,3
Student_48,3,NA,4,5,2,4,5,2,5,3,2,5,2,4,NA
Student_49,1,4,5,2,3,5,1,NA,2,3,1,5,4,2,3
Student_50,3,4,NA,NA,4,5,NA,5,4,4,4,4,2,3,NA
Student_51,5,3,5,5,5,NA,4,4,5,5,2,2,2,4,NA
Student_52,5,5,4,3,5,4,1,4,2,5,4,4,2,3,3
Student_53,5,5,4,4,3,3,NA,5,4,4,4,1,5,4,2
Student_54,2,5,5,4,3,4,3,4,5,2,3,2,4,4,5
Student_55,4,3,4,2,5,4,5,4,3,5,4,5,3,3,4
Student_56,2,2,2,5,4,4,5,4,4,3,2,NA,4,4,NA
Student_57,3,4,4,3,4,NA,4,3,3,3,3,5,3,4,4
Student_58,4,4,5,NA,3,4,4,4,NA,2,5,5,4,5,4
Student_59,4,4,3,5,NA,NA,5,1,5,3,4,2,5,3,4
Student_60,5,3,3,5,2,2,4,NA,NA,3,4,4,NA,4,4
Student_61,3,NA,3,3,5,2,2,1,1,5,4,5,3,5,3
Student_62,1,3,4,3,4,4,NA,3,3,3,NA,5,3,2,3
Student_63,2,3,4,4,2,4,5,4,4,4,4,5,3,4,5
Student_64,3,4,NA,1,4,4,2,4,4,2,4,5,4,5,4
Student_65,2,1,5,3,4,4,4,3,5,4,5,4,5,NA,3
Student_66,4,4,4,3,3,5,2,3,2,NA,3,4,3,5,3
Student_67,4,1,NA,3,5,2,3,NA,4,4,NA,4,NA,4,4
Student_68,2,4,4,NA,4,4,5,5,4,4,4,5,3,4,4
Student_69,3,4,NA,5,5,5,2,5,5,2,5,3,NA,NA,5
Student_70,4,4,NA,4,2,2,4,5,5,4,3,5,5,4,4
Student_71,4,2,4,4,5,3,5,5,2,5,3,4,4,4,2
Student_72,4,5,2,5,4,4,2,4,NA,5,4,3,3,3,4
Student_73,4,5,5,2,NA,1,4,5,4,3,5,2,4,4,5
Student_74,5,1,4,4,NA,4,5,4,2,3,NA,NA,5,5,2
Student_75,4,5,NA,3,5,4,4,3,5,4,4,4,3,5,4
Student_76,3,4,5,1,5,3,4,4,3,4,3,4,3,4,5
Student_77,4,2,5,4,3,4,4,NA,4,4,NA,5,4,5,2
Student_78,5,3,5,4,NA,4,4,NA,5,5,4,1,2,4,5
Student_79,5,2,5,4,4,3,4,2,NA,3,4,5,5,5,5
Student_80,4,2,5,2,2,3,5,NA,3,4,4,1,5,1,2
Student_81,3,NA,5,3,4,4,5,3,NA,5,5,5,2,4,4
Student_82,4,5,4,5,3,NA,NA,3,2,4,1,4,5,NA,1
Student_83,5,4,4,5,2,3,2,5,3,5,5,3,4,4,1
Student_84,3,4,1,4,4,3,1,4,2,2,3,4,4,4,5
