"pokedex","name","hp","attack","defense","special_attack","special_defense","speed","is_evolved"
1,"Bulbasaur",45,49,49,65,65,45,0
2,"Ivysaur",60,62,63,80,80,60,1
3,"Venusaur",80,82,83,100,100,80,1
4,"Charmander",39,52,43,60,50,65,0
5,"Charmeleon",58,64,58,80,65,80,1
6,"Charizard",78,84,78,109,85,100,1
7,"Squirtle",44,48,65,50,64,43,0
8,"Wartortle",59,63,80,65,80,58,1
9,"Blastoise",79,83,100,85,105,78,1
10,"Caterpie",45,30,35,20,20,45,0
11,"Metapod",50,20,55,25,25,30,1
12,"Butterfree",60,45,50,90,80,70,1
13,"Weedle",40,35,30,20,20,50,0
14,"Kakuna",45,25,50,25,25,35,1
15,"Beedrill",65,90,40,45,80,75,1
16,"Pidgey",40,45,40,35,35,56,0
17,"Pidgeotto",63,60,55,50,50,71,1
18,"Pidgeot",83,80,75,70,70,101,1
19,"Rattata",30,56,35,25,35,72,0
20,"Raticate",55,81,60,50,70,97,1
21,"Spearow",40,60,30,31,31,70,0
22,"Fearow",65,90,65,61,61,100,1
23,"Ekans",35,60,44,40,54,55,0
24,"Arbok",60,95,69,65,79,80,1
25,"Pikachu",35,55,40,50,50,90,1
26,"Raichu",60,90,55,90,80,110,1
27,"Sandshrew",50,75,85,20,30,40,0
28,"Sandslash",75,100,110,45,55,65,1
29,"Nidoran♀",55,47,52,40,40,41,0
30,"Nidorina",70,62,67,55,55,56,1
31,"Nidoqueen",90,92,87,75,85,76,1
32,"Nidoran♂",46,57,40,40,40,50,0
33,"Nidorino",61,72,57,55,55,65,1
34,"Nidoking",81,102,77,85,75,85,1
35,"Clefairy",70,45,48,60,65,35,1
36,"Clefable",95,70,73,95,90,60,1
37,"Vulpix",38,41,40,50,65,65,0
38,"Ninetales",73,76,75,81,100,100,1
39,"Jigglypuff",115,45,20,45,25,20,1
40,"Wigglytuff",140,70,45,85,50,45,1
41,"Zubat",40,45,35,30,40,55,0
42,"Golbat",75,80,70,65,75,90,1
43,"Oddish",45,50,55,75,65,30,0
44,"Gloom",60,65,70,85,75,40,1
45,"Vileplume",75,80,85,110,90,50,1
46,"Paras",35,70,55,45,55,25,0
47,"Parasect",60,95,80,60,80,30,1
48,"Venonat",60,55,50,40,55,45,0
49,"Venomoth",70,65,60,90,75,90,1
50,"Diglett",10,55,25,35,45,95,0
51,"Dugtrio",35,100,50,50,70,120,1
52,"Meowth",40,45,35,40,40,90,0
53,"Persian",65,70,60,65,65,115,1
54,"Psyduck",50,52,48,65,50,55,0
55,"Golduck",80,82,78,95,80,85,1
56,"Mankey",40,80,35,35,45,70,0
57,"Primeape",65,105,60,60,70,95,1
58,"Growlithe",55,70,45,70,50,60,0
59,"Arcanine",90,110,80,100,80,95,1
